Group.1	EM1_HollowSurf	EM1_Hollow5cm	EM1_Hollow20cm	EM1_Hollow40cm	EM1_Hollow80cm	EM1_Hollow160cm	EM1_Hollow200cm
293	5.7313125	6.882583333	8.940208333	10.125	10.39645833	8.92375	8.0808125
294	5.030979167	6.2229375	8.525416667	9.946041667	10.38479167	8.962916667	8.128625
295	5.054208333	6.048083333	8.1510625	9.723125	10.34520833	8.983333333	8.157625
296	5.582125	6.204770833	7.80075	9.362916667	10.15604167	8.863541667	8.0469375
297	4.680979167	5.705916667	7.679541667	9.21625	10.14083333	8.928541667	8.119583333
298	4.686714286	5.534964286	7.429285714	9.023571429	10.03821429	8.8925	8.091107143
299	5.177730769	5.714461538	7.233653846	8.745384615	9.873076923	8.848846154	8.051192308
300	4.721291667	5.475520833	7.075979167	8.589375	9.780416667	8.834791667	8.053145833
301	4.277	5.116979167	6.909479167	8.464791667	9.713541667	8.86125	8.090541667
302	3.433958333	4.544979167	6.660604167	8.297020833	9.613125	8.849791667	8.090145833
303	4.1194375	4.703645833	6.377854167	8.096	9.488333333	8.81625	8.065958333
304	4.356770833	4.897333333	6.337895833	7.950916667	9.42	8.834583333	8.1005625
305	5.073541667	5.366083333	6.321583333	7.771041667	9.268958333	8.772083333	8.047666667
306	3.731291667	4.677208333	6.308791667	7.6795625	9.173125	8.762708333	8.0528125
307	2.424041667	3.7378125	6.020583333	7.570729167	9.064583333	8.738125	8.043104167
308	2.218354167	3.340854167	5.682291667	7.464895833	9.013958333	8.767708333	8.090125
309	3.368375	3.798979167	5.45625	7.307666667	8.948333333	8.773333333	8.111729167
310	4.660270833	4.713666667	5.481333333	7.079958333	8.789166667	8.689166667	8.041041667
311	3.732583333	4.3478125	5.548958333	6.924270833	8.635	8.611666667	7.978416667
312	2.01375	3.3130625	5.417333333	6.893770833	8.572916667	8.62625	8.012770833
